@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric

@data
1,'2023/12/10 17:49:51:612',1,-0.028189,-0.095408,-0.014768,0.046942,-0.147275,-0.086878,-0.471646,-0.108144,-0.04829,0.036848,0.390001,0.023469,-0.12729,0.122375,-0.843931,0.507036,0.01877,0.165645,0.078906,-0.289739,1.022273,-0.002933,0.89833,-0.874751,0.814285,-0.052807,-0.044758,-0.078623,-0.073623,0.045668,0.116423,-0.076684,0,0,0,0,0,0,0,0
2,'2023/12/10 17:49:51:710',1,-0.028189,-0.095408,-0.014768,0.046942,-0.147275,-0.086878,-0.471646,-0.108144,-0.04829,0.036848,0.390001,0.023469,-0.12729,0.122375,-0.843931,0.507036,0.01877,0.165645,0.078906,-0.289739,1.022273,-0.002933,0.89833,-0.874751,0.814285,-0.052807,-0.044758,-0.078623,-0.073623,0.045668,0.116423,-0.076684,0,0,0,0,0,0,0,0
3,'2023/12/10 17:49:51:810',1,-0.028189,-0.095408,-0.014768,0.046942,-0.147275,-0.086878,-0.471646,-0.108144,-0.04829,0.036848,0.390001,0.023469,-0.12729,0.122375,-0.843931,0.507036,0.01877,0.165645,0.078906,-0.289739,1.022273,-0.002933,0.89833,-0.874751,0.814285,-0.052807,-0.044758,-0.078623,-0.073623,0.045668,0.116423,-0.076684,0,0,0,0,0,0,0,0
4,'2023/12/10 17:49:51:910',1,-0.028189,-0.095408,-0.014768,0.046942,-0.147275,-0.086878,-0.471646,-0.108144,-0.04829,0.036848,0.390001,0.023469,-0.12729,0.122375,-0.843931,0.507036,0.01877,0.165645,0.078906,-0.289739,1.022273,-0.002933,0.89833,-0.874751,0.814285,-0.052807,-0.044758,-0.078623,-0.073623,0.045668,0.116423,-0.076684,0,0,0,0,0,0,0,0
5,'2023/12/10 17:49:52:010',1,-0.028189,-0.095408,-0.014768,0.046942,-0.147275,-0.086878,-0.471646,-0.108144,-0.04829,0.036848,0.390001,0.023469,-0.12729,0.122375,-0.843931,0.507036,0.01877,0.165645,0.078906,-0.289739,1.022273,-0.002933,0.89833,-0.874751,0.814285,-0.052807,-0.044758,-0.078623,-0.073623,0.045668,0.116423,-0.076684,0,0,0,0,0,0,0,0
6,'2023/12/10 17:49:52:110',1,-0.028189,-0.095408,-0.014768,0.046942,-0.147275,-0.086878,-0.471646,-0.108144,-0.04829,0.036848,0.390001,0.023469,-0.12729,0.122375,-0.843931,0.507036,0.01877,0.165645,0.078906,-0.289739,1.022273,-0.002933,0.89833,-0.874751,0.814285,-0.052807,-0.044758,-0.078623,-0.073623,0.045668,0.116423,-0.076684,0,0,0,0,0,0,0,0
7,'2023/12/10 17:49:52:210',1,-0.028189,-0.095408,-0.014768,0.046942,-0.147275,-0.086878,-0.471646,-0.108144,-0.04829,0.036848,0.390001,0.023469,-0.12729,0.122375,-0.843931,0.507036,0.01877,0.165645,0.078906,-0.289739,1.022273,-0.002933,0.89833,-0.874751,0.814285,-0.052807,-0.044758,-0.078623,-0.073623,0.045668,0.116423,-0.076684,0,0,0,0,0,0,0,0
8,'2023/12/10 17:49:52:311',1,-0.028189,-0.095408,-0.014768,0.046942,-0.147275,-0.086878,-0.471646,-0.108144,-0.04829,0.036848,0.390001,0.023469,-0.12729,0.122375,-0.843931,0.507036,0.01877,0.165645,0.078906,-0.289739,1.022273,-0.002933,0.89833,-0.874751,0.814285,-0.052807,-0.044758,-0.078623,-0.073623,0.045668,0.116423,-0.076684,0,0,0,0,0,0,0,0
9,'2023/12/10 17:49:52:411',1,-0.028189,-0.095408,-0.014768,0.046942,-0.147275,-0.086878,-0.471646,-0.108144,-0.04829,0.036848,0.390001,0.023469,-0.12729,0.122375,-0.843931,0.507036,0.01877,0.165645,0.078906,-0.289739,1.022273,-0.002933,0.89833,-0.874751,0.814285,-0.052807,-0.044758,-0.078623,-0.073623,0.045668,0.116423,-0.076684,0,0,0,0,0,0,0,0
10,'2023/12/10 17:49:52:513',1,-0.028189,-0.095408,-0.014768,0.046942,-0.147275,-0.086878,-0.471646,-0.108144,-0.04829,0.036848,0.390001,0.023469,-0.12729,0.122375,-0.843931,0.507036,0.01877,0.165645,0.078906,-0.289739,1.022273,-0.002933,0.89833,-0.874751,0.814285,-0.052807,-0.044758,-0.078623,-0.073623,0.045668,0.116423,-0.076684,0,0,0,0,0,0,0,0
